# ExxonMobil corporate turnaround plan (AMR Turnaround Schedule 2026 FP, Query1 sheet).
Beaumont Complex,GTG 24 SCR,Miscellaneous,OTHER,Other,2030,2030-10-27,2030-12-26,GTG 43: 60 days - 4Q,North America
Beaumont Complex,Utilities,Utilities,,Other,2030,2030-04-28,2030-05-28,Boiler 33: 30 days - 5/1,North America
Beaumont Complex,Utilities,Utilities,,Other,2030,2030-04-28,2030-05-28,Boiler 33: 30 days - 5/1,North America
Beaumont Complex,Utilities,Utilities,,Other,2030,2030-09-01,2030-10-01,Boiler 34: 30 days - 9/1,North America
Beaumont Complex,BRU,Environmental,Benzene Recovery South,Other,2030,2030-08-04,2030-08-25,S-BRU: 21 days - 3Q,North America
Beaumont Complex,BRU,Environmental,Benzene Recovery South,Other,2030,2030-08-04,2030-08-25,S-BRU: 21 days - 3Q,North America
Beaumont Complex,CUA,Distillation,Vacuum Distillation A2,CDU,2030,2030-09-29,2030-10-24,CUA VT-2: 25 days - 4Q,North America
Beaumont Complex,CUA,Distillation,Vacuum Distillation A2,CDU,2030,2030-09-29,2030-10-24,CUA VT-2: 25 days - 4Q,North America
Beaumont Complex,HYD/CYC,Aromatics,Hydrotreater,Other,2030,2030-09-29,2030-10-24,Treater 3: 25 days - 4Q,North America
Beaumont Complex,HYD/CYC,Aromatics,Hydrotreater,Other,2030,2030-09-29,2030-10-24,Treater 3: 25 days - 4Q,North America
Beaumont Complex,Coldbox,Offsites,Coldbox,Other,2030,2030-09-29,2030-10-24,Cold Box: 25 day - 4Q,North America
Beaumont Complex,Coldbox,Offsites,Coldbox,Other,2030,2030-09-29,2030-10-24,Cold Box: 25 day - 4Q,North America
Baton Rouge Refinery,PSLA-10,Distillation,VAC,CDU,2031,2031-01-17,2031-03-11,PSLA-10 1Q31,North America
Baton Rouge Refinery,FECKR,Coking,Far East Coker,Coker,2031,2031-01-01,2031-02-05,31Q1 Baton Rouge Far East Coker,North America
Baton Rouge Chemical Plant,OXO-HP,Oxo,High Pressure OXO,Other,2031,2031-09-01,2031-10-01,31Q3 OXO/Poly Turnaround,North America
Baton Rouge Chemical Plant,OXO-HP,Oxo,High Pressure OXO,Other,2031,2031-09-01,2031-10-01,31Q3 OXO/Poly Turnaround,North America
Baton Rouge Chemical Plant,POLY,Oxo,POLY,Other,2031,2031-09-01,2031-10-01,31Q3 OXO/Poly Turnaround,North America
Baton Rouge Refinery,HULA,Hydroprocessing,Hydrofiner Unit,Hydrotreater,2031,2031-05-04,2031-05-27,HULA R-801: 23 Days- Q2,North America
Baton Rouge Refinery,HHLA-S,Hydroprocessing,HYDT,Hydrotreater,2031,2031-09-09,2031-10-02,31Q3 HHLA-S,North America
Baton Rouge Refinery,PHLA,Distillation,Feed Preparation,Other,2031,2031-01-19,2031-02-26,Feed prep/T30: 38 days - 1/17,North America
Baton Rouge Chemical Plant,EPLAS,Olefin Recovery,EPLAS Process Gas Compressor,Other,2031,2031-09-01,2031-10-23,Maintrain Turnaround,North America
Baton Rouge Chemical Plant,OLA-2X,Olefin Recovery,Light Olefins 2X Process Gas Compressor,Other,2031,2031-09-01,2031-10-23,Maintrain Turnaround,North America
Baton Rouge Refinery,ALKY,Alkylation,Alkylation Strat,Other,2031,2031-10-05,2031-11-19,ALKY Stratco: 45 days - 4Q,North America
Baytown Refinery,HU 6A,Hydroprocessing,DHYT,Hydrotreater,2031,2031-08-01,2031-09-01,2031 HU-6A Cat C/O,North America
Baytown Refinery,HU10,Hydroprocessing,Hydrofiner 10,Hydrotreater,2031,2031-05-15,2031-06-17,2031 HU-10 R901A C/O,North America
Baytown Refinery,HU10,Hydroprocessing,Hydrofiner 10,Hydrotreater,2031,2031-05-15,2031-06-24,2031 HU-10 R901A C/O,North America
Baytown Refinery,SCU2,Gas Processing,Claus A Train,Other,2031,2031-05-15,2031-06-24,2031 HU-10 R901A C/O,North America
Baytown Refinery,SCU2,Gas Processing,Tail gas cleanup B,Other,2031,2031-05-15,2031-06-24,2031 HU-10 R901A C/O,North America
Beaumont Complex,GTG 24 SCR,Miscellaneous,OTHER,Other,2031,2031-01-19,2031-03-20,GTG 24: 60 days - 1Q,North America
Beaumont Complex,GTG 24 SCR,Miscellaneous,OTHER,Other,2031,2031-01-19,2031-03-20,GTG 24: 60 days - 1Q,North America
Beaumont Complex,FCC,Cracking,FCC,FCC,2031,2031-02-02,2031-03-23,FCC: 49 days - 1Q,North America
Beaumont Complex,FCC,Cracking,FCC,FCC,2031,2031-02-02,2031-03-23,FCC: 49 days - 1Q,North America
Beaumont Complex,DUA,Hydrocracking,Dualayers,Hydrocracker,2031,2031-02-02,2031-03-20,Dualayer / GP5W: 46 days - 1Q,North America
Beaumont Complex,DUA,Hydrocracking,Dualayers,Hydrocracker,2031,2031-02-02,2031-03-20,Dualayer / GP5W: 46 days - 1Q,North America
Beaumont Complex,SCANFINER,Hydroprocessing,HYDT,Hydrotreater,2031,2031-02-02,2031-03-20,Scanfiner: 46 days - 1Q,North America
Beaumont Complex,SCANFINER,Hydroprocessing,HYDT,Hydrotreater,2031,2031-02-02,2031-03-20,Scanfiner: 46 days - 1Q,North America
Beaumont Complex,ALKY FD HDT,Hydroprocessing,HYDT,Hydrotreater,2031,2031-02-02,2031-03-20,Alky / MTBE: 1Q31,North America
Beaumont Complex,ALKY FD HDT,Hydroprocessing,HYDT,Hydrotreater,2031,2031-02-02,2031-03-20,Alky / MTBE: 1Q31,North America
Beaumont Complex,SULFUR PLANT 3,Gas Processing,SRU/TRU,Other,2031,2031-02-02,2031-03-09,SRU3 / TGU: 35 days - 1Q,North America
Beaumont Complex,SULFUR PLANT 3,Gas Processing,SRU/TRU,Other,2031,2031-02-02,2031-03-09,SRU3 / TGU: 35 days - 1Q,North America
Beaumont Complex,GP5E,Distillation,GP5E,Other,2031,2031-10-19,2031-11-18,GP5E: 30 days - 4Q,North America
Beaumont Complex,GP5E,Distillation,GP5E,Other,2031,2031-10-19,2031-11-18,GP5E: 30 days - 4Q,North America
Beaumont Complex,COKER,Coking,Coker,Coker,2031,2031-04-06,2031-05-06,Coker: 30 days - 2Q,North America
Beaumont Complex,COKER,Coking,Coker,Coker,2031,2031-04-06,2031-05-06,Coker: 30 days - 2Q,North America
Beaumont Complex,BRU,Environmental,Benzene Recovery North,Other,2031,2031-04-06,2031-04-27,N-BRU: 21 days - 2Q,North America
Beaumont Complex,BRU,Environmental,Benzene Recovery North,Other,2031,2031-04-06,2031-04-27,N-BRU: 21 days - 2Q,North America
Beaumont Complex,GTG 42 SCR,Miscellaneous,OTHER,Other,2031,2031-07-06,2031-09-04,GTG 42: 60 days - 3Q,North America
Beaumont Complex,GTG 42 SCR,Miscellaneous,OTHER,Other,2031,2031-07-06,2031-09-04,GTG 42: 60 days - 3Q,North America
Beaumont Complex,CAT,Miscellaneous,Catalyst,Other,2031,2031-10-05,2031-11-03,Catalyst & Synthetics: 29 days - 4Q,North America
Beaumont Complex,CAT,Miscellaneous,Catalyst,Other,2031,2031-10-05,2031-11-03,Catalyst & Synthetics: 29 days - 4Q,North America
Beaumont Complex,GTG 41 SCR,Miscellaneous,OTHER,Other,2031,2031-05-04,2031-05-14,GTG 41: 10 days - 2Q,North America
Beaumont Complex,GTG 41 SCR,Miscellaneous,OTHER,Other,2031,2031-05-04,2031-05-14,GTG 41: 10 days - 2Q,North America
Nanticoke Refinery,FCCU,Cracking,Catalytic Cracking,FCC,2031,2031-03-30,2031-05-14,FCC/CO Boiler: 45 days - 2Q,North America
Nanticoke Refinery,UT,Utilities,Utilities,Other,2031,2031-03-31,2031-04-28,Common Utilities: 28 days - 2Q,North America
Nanticoke Refinery,NP-CSU,Distillation,CDU,CDU,2031,2031-03-30,2031-05-11,CSU: 42 days - 2Q,North America
Nanticoke Refinery,CRU,Hydroprocessing,Light Ends Fractionation CRU,Hydrotreater,2031,2031-03-30,2031-05-01,CRU: 32 days - 2Q,North America
Nanticoke Refinery,NHIN,Hydroprocessing,Naphtha Hydroprocessing,Hydrotreater,2031,2031-03-30,2031-05-12,NHIN: 43 days - 2Q,North America
Nanticoke Refinery,SWS,Gas Processing,Sour Water Stripper,Other,2031,2031-03-30,2031-04-29,SWS: 30 days - 2Q,North America
Nanticoke Refinery,FLR,Utilities,Flare,Other,2031,2031-03-30,2031-04-21,S-Flare: 22 days - 2Q,North America
Sarnia Refinery,DHIS3,Hydroprocessing,DHYT,Hydrotreater,2031,2031-04-01,2031-05-01,2031 DHIS#3 Major,North America
Sarnia Refinery,DHIS3,Hydroprocessing,DHYT,Hydrotreater,2031,2031-04-01,2031-05-01,2031 DHIS#3 Major,North America
Strathcona Refinery,AF,Distillation,Atmospheric pre_Flash,CDU,2031,2031-03-30,2031-05-04,2Q31 Strathcona Shutdown,North America
Strathcona Refinery,AM,Gas Processing,Amine,Other,2031,2031-03-30,2031-04-13,2Q31 Strathcona Shutdown,North America
Strathcona Refinery,AP,Distillation,Atmospheric Pipestill,CDU,2031,2031-03-30,2031-05-04,2Q31 Strathcona Shutdown,North America
Strathcona Refinery,COB,Utilities,,Other,2031,2031-03-30,2031-05-04,2Q31 Strathcona Shutdown,North America
Strathcona Refinery,NHIE,Hydroprocessing,HYDT,Hydrotreater,2031,2031-03-30,2031-05-04,2Q31 Strathcona Shutdown,North America
Strathcona Refinery,PF,Reforming,Powerformer,Reformer,2031,2031-03-30,2031-05-04,2Q31 Strathcona Shutdown,North America
Strathcona Refinery,RHIP,Hydroprocessing,Refined Oil Hydrotreater,Hydrotreater,2031,2031-03-30,2031-05-04,2Q31 Strathcona Shutdown,North America
Strathcona Refinery,S1,Gas Processing,SRU/TRU,Other,2031,2031-03-30,2031-04-24,2Q31 Strathcona Shutdown,North America
Strathcona Refinery,VP,Distillation,Vacuum Pipestill,CDU,2031,2031-03-30,2031-05-04,2Q31 Strathcona Shutdown,North America
Strathcona Refinery,GT,Utilities,Cogeneration,Other,2031,2031-08-29,2031-09-26,3Q31 Strathcona Shutdown,North America
Strathcona Refinery,UP,Utilities,Utilities Plant,Other,2031,2031-08-29,2031-10-28,3Q31 Strathcona Shutdown,North America
Baton Rouge Refinery,PSLA-7,Distillation,VAC,CDU,2032,2032-01-01,2032-02-23,PSLA-7 1Q32,North America
Baton Rouge Refinery,ECKR,Coking,East Coker,Coker,2032,2032-01-01,2032-02-05,32Q1 Baton Rouge East Coker,North America
Baton Rouge Refinery,HCLA,Hydrocracking,HYC,Hydrocracker,2032,2032-02-03,2032-04-03,32Q1 HCLA,North America
Baton Rouge Refinery,RHLA-2,Hydroprocessing,HYDT,Hydrotreater,2032,2032-02-14,2032-02-29,RHLA-2 s/d,North America
Baton Rouge Refinery,HULA,Hydroprocessing,Hydrofiner Unit,Hydrotreater,2032,2032-05-04,2032-05-27,HULA R-901: 23 days - 2Q,North America
Baton Rouge Refinery,ALKY,Alkylation,Alkylation East,Other,2032,2032-10-01,2032-11-15,ALKY East: 45 days - 4Q,North America
Baytown Refinery,LHU 1,Hydroprocessing,DHYT,Hydrotreater,2032,2032-01-12,2032-02-01,2032 LHU1 Cat C/O,North America
Baytown Refinery,HU 6B,Hydroprocessing,HYDT,Hydrotreater,2033,2033-05-03,2033-06-02,2033 HU-6B Cat C/O,North America
Baytown Refinery,LHF,Hydroprocessing,Light Gas Oil Hydrofiner,Hydrotreater,2032,2032-04-07,2032-05-04,2032 LHF Cat C/O,North America
Baytown Refinery,LHF,Hydroprocessing,Light Gas Oil Hydrofiner,Hydrotreater,2032,2032-04-07,2032-05-04,2032 LHF Cat C/O,North America
Baytown Refinery,HU 10,Hydroprocessing,DHYT,Hydrotreater,2032,2032-05-15,2032-06-17,2032 HU-10 R901B C/O,North America
Baytown Refinery,HU4,Hydroprocessing,Hydrofining Unit 4,Hydrotreater,2032,2032-02-15,2032-03-11,2032 HU4 Cat C/O,North America
Beaumont Complex,CUB,Distillation,VAC,CDU,2032,2032-04-26,2032-05-21,CUB Vac: 25 days - 2Q,North America
Beaumont Complex,CUB,Distillation,VAC,CDU,2032,2032-04-26,2032-05-21,CUB Vac: 25 days - 2Q,North America
Beaumont Complex,PtR-3,Reforming,HYDT,Reformer,2032,2032-02-02,2032-03-12,PTR3 / HDC: 39 days - 1Q,North America
Beaumont Complex,PtR-3,Reforming,HYDT,Reformer,2032,2032-02-02,2032-03-12,PTR3 / HDC: 39 days - 1Q,North America
Beaumont Complex,SULFUR PLANT 2,Gas Processing,SRU/TRU,Other,2032,2032-02-02,2032-03-08,SRU2 / TGU: 35 days - 1Q,North America
Beaumont Complex,SULFUR PLANT 2,Gas Processing,SRU/TRU,Other,2032,2032-02-02,2032-03-08,SRU2 / TGU: 35 days - 1Q,North America
Beaumont Complex,BMCP Paraxylene,,Paraxylene,Other,2032,2032-10-04,2032-11-03,Paraxylene Hot/Cold: 30 days -4Q,North America
Beaumont Complex,BMCP Paraxylene,,Paraxylene,Other,2032,2032-10-04,2032-11-03,Paraxylene Hot/Cold: 30 days -4Q,North America
Beaumont Complex,GTG 24 SCR,Miscellaneous,OTHER,Other,2032,2032-10-04,2032-10-16,GTG 24: 12 days - 4Q,North America
Beaumont Complex,GTG 24 SCR,Miscellaneous,OTHER,Other,2032,2032-10-04,2032-10-16,GTG 24: 12 days - 4Q,North America
Beaumont Complex,DEA_N,Gas Processing,N DEA Regeneration,Other,2032,2032-02-02,2032-03-08,North DEA: 35 days - 1Q,North America
Beaumont Complex,DEA_N,Gas Processing,N DEA Regeneration,Other,2032,2032-02-02,2032-03-08,North DEA: 35 days - 1Q,North America
Beaumont Complex,SAM,Miscellaneous,OTHER,Other,2032,2032-02-02,2032-02-23,SAM: 21 days - 1Q,North America
Beaumont Complex,SAM,Miscellaneous,OTHER,Other,2032,2032-02-02,2032-02-23,SAM: 21 days - 1Q,North America
Beaumont Complex,CKRGP,Distillation,Coker Gas Plant,Other,2032,2032-04-05,2032-05-05,Coker: 30 days - 2Q,North America
Beaumont Complex,CKRGP,Distillation,Coker Gas Plant,Other,2032,2032-04-05,2032-05-05,Coker: 30 days - 2Q,North America
Beaumont Complex,BRU,Environmental,Benzene Recovery South,Other,2032,2032-04-05,2032-04-26,S-BRU: 21 days - 2Q,North America
Beaumont Complex,BRU,Environmental,Benzene Recovery South,Other,2032,2032-04-05,2032-04-26,S-BRU: 21 days - 2Q,North America
Beaumont Complex,SWS,Gas Processing,Sour Water Stripper,Other,2032,2032-04-05,2032-05-05,SWS1: 30 days - 2Q,North America
Beaumont Complex,SWS,Gas Processing,Sour Water Stripper,Other,2032,2032-04-05,2032-05-05,SWS1: 30 days - 2Q,North America
Beaumont Complex,PP3,Utilities,Power Plant 3,Other,2032,2032-04-05,2032-05-17,STG 33: 42 days - 2Q,North America
Beaumont Complex,CHD1,Hydroprocessing,Catalytic Hydrodesulfurizer 1,Hydrotreater,2032,2032-04-05,2032-04-30,CHD1: 25 days - 2Q,North America
Beaumont Complex,CHD1,Hydroprocessing,Catalytic Hydrodesulfurizer 1,Hydrotreater,2032,2032-04-05,2032-04-30,CHD1: 25 days - 2Q,North America
Beaumont Complex,CHD-2,Hydroprocessing,DHYT,Hydrotreater,2032,2032-07-05,2032-08-04,CHD2: 30 days - 3Q,North America
Beaumont Complex,CHD-2,Hydroprocessing,DHYT,Hydrotreater,2032,2032-07-05,2032-08-04,CHD2: 30 days - 3Q,North America
Beaumont Complex,ALKY FD HDT,Hydroprocessing,HYDT,Hydrotreater,2032,2032-04-05,2032-04-19,Alky B Rx: 2Q32,North America
Beaumont Complex,ALKY FD HDT,Hydroprocessing,HYDT,Hydrotreater,2032,2032-04-05,2032-04-19,Alky B Rx: 2Q32,North America
Beaumont Complex,DEA3,Gas Processing,DEA Regeneration 3,Other,2032,2032-07-05,2032-07-08,South DEA: 3- days - 3Q,North America
Beaumont Complex,DEA3,Gas Processing,DEA Regeneration 3,Other,2032,2032-07-05,2032-07-08,South DEA: 3- days - 3Q,North America
Beaumont Complex,GTG 43 SCR,Miscellaneous,OTHER,Other,2032,2032-04-05,2032-04-17,GTG 43: 12 days - 2Q,North America
Beaumont Complex,GTG 43 SCR,Miscellaneous,OTHER,Other,2032,2032-04-05,2032-04-17,GTG 43: 12 days - 2Q,North America
Beaumont Complex,PtR-4,Reforming,HYDT,Reformer,2032,2032-10-04,2032-10-29,PTR4: 25 days - 4Q,North America
Beaumont Complex,PtR-4,Reforming,HYDT,Reformer,2032,2032-10-04,2032-10-29,PTR4: 25 days - 4Q,North America
Beaumont Complex,ALKY 2,Asphalt,ASA,Other,2032,2032-10-04,2032-10-18,Alky E Rx: 14 days - 4Q,North America
Beaumont Complex,ALKY 2,Asphalt,ASA,Other,2032,2032-10-04,2032-10-18,Alky E Rx: 14 days - 4Q,North America
Beaumont Complex,GTG 41 SCR,Miscellaneous,OTHER,Other,2032,2032-07-05,2032-08-19,GTG 41: 45 days - 3Q,North America
Beaumont Complex,GTG 41 SCR,Miscellaneous,OTHER,Other,2032,2032-07-05,2032-08-19,GTG 41: 45 days - 3Q,North America
Joliet Refinery,CHD,Hydroprocessing,DHYT,Hydrotreater,2032,2032-03-29,2032-04-12,2Q32 Joliet Shutdown,North America
Joliet Refinery,COKER,Coking,DC,Coker,2032,2032-03-29,2032-04-23,2Q32 Joliet Shutdown,North America
Joliet Refinery,CRD,Distillation,Atmospheric Distillation,CDU,2032,2032-03-29,2032-04-18,2Q32 Joliet Shutdown,North America
Joliet Refinery,CRD,Distillation,Vacuum Distillation,CDU,2032,2032-03-29,2032-04-18,2Q32 Joliet Shutdown,North America
Joliet Refinery,FCC,Cracking,Fluid Catalytic Cracking,FCC,2032,2032-03-29,2032-04-12,2Q32 Joliet Shutdown,North America
Joliet Refinery,FT Cogen,Utilities,COGEN,Other,2032,2032-03-29,2032-04-08,2Q32 Joliet Shutdown,North America
Joliet Refinery,HDF,Hydroprocessing,HYDT,Hydrotreater,2032,2032-03-29,2032-04-10,2Q32 Joliet Shutdown,North America
Joliet Refinery,CHD,Hydroprocessing,DHYT,Hydrotreater,2031,2031-03-31,2031-04-14,2Q31 Joliet Shutdown,North America
Joliet Refinery,COKER,Coking,DC,Coker,2031,2031-03-31,2031-04-25,2Q31 Joliet Shutdown,North America
Joliet Refinery,CRD,Distillation,Atmospheric Distillation,CDU,2031,2031-03-31,2031-04-20,2Q31 Joliet Shutdown,North America
Joliet Refinery,CRD,Distillation,Vacuum Distillation,CDU,2031,2031-03-31,2031-04-20,2Q31 Joliet Shutdown,North America
Joliet Refinery,FCC,Cracking,Fluid Catalytic Cracking,FCC,2031,2031-03-31,2031-04-14,2Q31 Joliet Shutdown,North America
Joliet Refinery,FT Cogen,Utilities,COGEN,Other,2031,2031-03-31,2031-04-06,2Q31 Joliet Shutdown,North America
Joliet Refinery,HDF,Hydroprocessing,HYDT,Hydrotreater,2031,2031-03-31,2031-04-12,2Q31 Joliet Shutdown,North America
Nanticoke Refinery,NP-VSU,Distillation,VAC,CDU,2033,2033-04-05,2033-05-09,VSU: 34days - 2Q,North America
Nanticoke Refinery,NP-HSR-UNIF,Hydroprocessing,HYDT,Hydrotreater,2033,2033-04-05,2033-04-24,UNI: 19 days - 2Q,North America
Nanticoke Refinery,DHIN2,Hydroprocessing,Distillate Hydroprocessing 2,Hydrotreater,2033,2033-04-05,2033-04-29,DHIN #2: 24 days - 2Q,North America
Nanticoke Refinery,UT,Utilities,Utilities,Other,2032,2032-09-20,2032-11-04,Boiler #1: 45 days - 3Q,North America
Sarnia Refinery,PFIS2,Reforming,Powerformer 2,Reformer,2032,2032-01-01,2032-01-31,2032 PFIS#2 Major (Regen),North America
Strathcona Refinery,GT,Utilities,Cogeneration,Other,2032,2032-07-05,2032-07-17,3Q32 Strathcona Shutdown,North America
Strathcona Refinery,HTIP,Hydroprocessing,HAGO Treater,Hydrotreater,2032,2032-07-05,2032-08-02,3Q32 Strathcona Shutdown,North America
Strathcona Refinery,RHIE,Hydroprocessing,HYDT,Hydrotreater,2032,2032-07-05,2032-08-02,3Q32 Strathcona Shutdown,North America
Baton Rouge Refinery,HULA,Hydroprocessing,Hydrofiner Unit,Hydrotreater,2033,2033-05-03,2033-05-26,HULA R-801: 23 days - 2Q,North America
Baton Rouge Refinery,HHLA-N,Hydroprocessing,DHYT,Hydrotreater,2033,2033-03-15,2033-04-07,33Q1 HHLA-N,North America
Baton Rouge Chemical Plant,IPA,Fluids,Isopropyl Alcohol Unit,Other,2030,2030-10-01,2030-10-31,IPA Turnaround,North America
Baton Rouge Chemical Plant,IPA,Fluids,Isopropyl Alcohol Unit,Other,2030,2030-10-01,2030-10-31,IPA Turnaround,North America
Baton Rouge Chemical Plant,OXO-LP,Offsites,Low Pressure OXO,Other,2033,2033-09-01,2033-09-15,OXO Equipment Cleaning,North America
Baton Rouge Chemical Plant,OXO-LP,Offsites,Low Pressure OXO,Other,2033,2033-09-01,2033-09-15,OXO Equipment Cleaning,North America
Baton Rouge Refinery,HHLA-S,Hydroprocessing,HYDT,Hydrotreater,2033,2033-09-13,2033-10-11,33Q3 HHLA-S,North America
Baytown Refinery,HU9 IFP,Hydroprocessing,HYDT,Hydrotreater,2033,2033-01-31,2033-03-02,2033 HU9 Cat C/O (with FS Event),North America
Baytown Refinery,HU9 IFP,Hydroprocessing,HYDT,Hydrotreater,2033,2033-01-31,2033-03-02,2033 HU9 Cat C/O (with FS Event),North America
Baytown Refinery,HU 5A,Hydroprocessing,HYDT,Hydrotreater,2033,2033-01-10,2033-02-09,2033 HU5A Cat C/O,North America
Baytown Refinery,HU 10,Hydroprocessing,DHYT,Hydrotreater,2033,2033-05-15,2033-06-17,2033 HU-10 R901A C/O,North America
Baytown Refinery,HU 6A,Hydroprocessing,DHYT,Hydrotreater,2033,2033-08-01,2033-09-01,2033 HU-6A Cat C/O,North America
Baytown Refinery,LHU 1,Hydroprocessing,DHYT,Hydrotreater,2033,2033-10-03,2033-10-23,2033 LHU1 Cat C/O,North America
Beaumont Complex,GTG 42 SCR,Miscellaneous,OTHER,Other,2033,2033-01-10,2033-01-22,GTG 42: 12 days - 1Q,North America
Beaumont Complex,GTG 42 SCR,Miscellaneous,OTHER,Other,2033,2033-01-10,2033-01-22,GTG 42: 12 days - 1Q,North America
Beaumont Complex,ALKY FD HDT,Hydroprocessing,HYDT,Hydrotreater,2033,2033-04-04,2033-04-18,Alky D Rx: 14 days - 2Q,North America
